frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.13095187,-0.52140373,-0.06951511,-0.076292835,-0.14072789,0.12312162,-0.11491999,0.27270609999999995,0.016281165,0.10875886,0.261356,-0.047339305,0.10116184,-0.15737201,0.00014857563999999998,0.032491572,-0.55378205,-0.17052867,-0.32736459999999995,0.68501186,0.23901227,-0.35964838,0.60965574,0.00762856,-0.11375171,0.7281635000000001,0.02339774,0.17204349,0.7002821,-0.007036066,0.3727656,0.5133339,-0.034733687,0.52463573,0.61164933,0.124129385,0.03685726,0.7665554,0.034836955,0.063346125,0.9696925999999999,0.07268284,0.044367682,0.87789786,0.19527711,0.08382724,0.9136719000000001,0.16326027,0.01866832,0.91992676,0.15601668,0.13040566,0.8900568000000001,0.075594515,-0.01539737,0.9060790999999999,0.059822123,-0.003080565482378006,0.2670310437679291,-0.015529070049524309
2,-0.1268755,-0.51906335,-0.053911217000000004,-0.08151263,-0.13755038,0.14819744,-0.115104035,0.26975095,0.015893076000000003,0.11016427,0.2569938,-0.04741993,0.08942046,-0.16771929,-0.026341798,0.013911931,-0.5665420999999999,-0.20298834,-0.36668748,0.6632945,0.26467258,-0.35713702,0.59192526,0.027347695,-0.11104144,0.7168357,0.03970898,0.17461714,0.6873862,0.0012322739,0.35920095,0.48320827,-0.036224455,0.532416,0.5563895000000001,0.1180223,0.040129814,0.75677156,0.0464728,0.06309033,0.9609771999999999,0.07597698,0.045589805,0.87449884,0.20218953,0.08454113,0.90977144,0.16896221,0.019177862,0.91433287,0.16134612,0.13160574,0.8832687,0.08261353,-0.0137853995,0.8955122999999999,0.0661842,-0.002469882369041443,0.2633723616600037,-0.015763428062200546
3,-0.1268755,-0.51906335,-0.053911217000000004,-0.08151263,-0.13755038,0.14819744,-0.115104035,0.26975095,0.015893076000000003,0.11016427,0.2569938,-0.04741993,0.08942046,-0.16771929,-0.026341798,0.013911931,-0.5665420999999999,-0.20298834,-0.36668748,0.6632945,0.26467258,-0.35713702,0.59192526,0.027347695,-0.11104144,0.7168357,0.03970898,0.17461714,0.6873862,0.0012322739,0.35920095,0.48320827,-0.036224455,0.532416,0.5563895000000001,0.1180223,0.040129814,0.75677156,0.0464728,0.06309033,0.9609771999999999,0.07597698,0.045589805,0.87449884,0.20218953,0.08454113,0.90977144,0.16896221,0.019177862,0.91433287,0.16134612,0.13160574,0.8832687,0.08261353,-0.0137853995,0.8955122999999999,0.0661842,-0.002469882369041443,0.2633723616600037,-0.015763428062200546
4,-0.12819144,-0.5227082000000001,-0.047190132999999995,-0.067705095,-0.13809228,0.13354477,-0.11070741,0.27144450000000003,0.027161084,0.105921976,0.26179796,-0.056408767,0.0946281,-0.15827283,-0.04280581,0.020114532,-0.55841506,-0.20159769,-0.32751167,0.6987178,0.29493254,-0.35724520000000004,0.60432124,0.07092872,-0.11046271,0.72211975,0.05212565,0.17167152,0.69518936,-0.010468889,0.36021972,0.49873936,-0.050344683,0.5151545,0.60894746,0.09514554,0.040628307,0.76322603,0.045254525,0.06731076,0.9684283000000001,0.075576685,0.059259966,0.87940586,0.20104635,0.09565593,0.9151372999999999,0.16542237,0.029994316,0.9200808000000001,0.16303778,0.13585906,0.8901764000000001,0.07506382,-0.010598965,0.90348756,0.070249125,-0.0023927167057991032,0.2666212320327759,-0.014623841270804403
5,-0.12593168,-0.51543194,-0.010359611,-0.06329663,-0.12769260000000002,0.15668197,-0.11269501,0.27102688,0.022280887000000003,0.10670225,0.2599244,-0.05443393,0.10512011,-0.15674055,-0.008761874000000001,0.030312903,-0.55870074,-0.1567959,-0.3259902,0.69301593,0.29718623,-0.36462316,0.6015716,0.073017046,-0.11851682,0.7152767,0.0339571,0.16573583,0.6938258,-0.023847591,0.36666940000000003,0.5113340999999999,-0.07616694,0.54549503,0.59253484,0.061942667,0.032217617999999996,0.75961107,0.027959098999999998,0.055645900000000005,0.96664166,0.058335353,0.053070955,0.8764243,0.18250479,0.087736785,0.9126868,0.14618792,0.02212278,0.9171724,0.14640908,0.12440727,0.8891893,0.05427764400000001,-0.022050603999999998,0.90144885,0.055106077,-0.0029963776469230648,0.2654756307601929,-0.016076521947979927
6,-0.13080826,-0.51450384,-0.037228927,-0.06278313,-0.13217694,0.15022846,-0.11700047599999999,0.27260962,0.014258217,0.10854479,0.26327825,-0.05158332400000001,0.12306473400000001,-0.14651547,0.05174275,0.042979337,-0.54791754,-0.10524344,-0.28015566,0.5936942,0.29144567,-0.34980370000000005,0.5530153,0.05653606,-0.1256475,0.71325314,0.034404002,0.16636679,0.69218624,-0.016838752,0.34921230000000003,0.4884295,-0.078933276,0.5623545,0.505078,0.04101667,0.030543262,0.7606308,0.03477399,0.06100031,0.9666625,0.08797228,0.06793399,0.8598712,0.19783139,0.09995871,0.8996781999999999,0.16264594,0.034969818,0.90621185,0.17132801,0.12538314,0.88845444,0.06496614,-0.020815589,0.9045198,0.08419366,-0.004227843135595322,0.2679439187049866,-0.01866255328059196
7,-0.12922043,-0.5066924,-0.054186054000000004,-0.06565917,-0.13063239999999998,0.13313045,-0.11636206,0.276124,0.015571428,0.10720086,0.26729759999999997,-0.050692577,0.13316806,-0.13527192,0.053235102,0.059392303,-0.53231966,-0.09921128,-0.27860516,0.5794076,0.28614703,-0.34112376,0.55033565,0.050687954,-0.121251106,0.7156501000000001,0.04069446,0.17115165,0.69435585,-0.012733852,0.34858054,0.49363723,-0.092874825,0.556026,0.51102936,0.029777952000000003,0.03602976,0.7647379,0.041231077000000005,0.06666089,0.9734577,0.08959425,0.06766369,0.8706815999999999,0.20375957,0.10154744,0.90934145,0.16885461,0.036193047,0.9159231,0.17362867,0.13261445,0.8943466999999998,0.07293675,-0.014661334,0.91107,0.08354451,-0.004580598324537277,0.2717108130455017,-0.017560575157403946
8,-0.13262839999999998,-0.5061911,-0.09922045,-0.072368205,-0.14109999,0.12261408,-0.117571905,0.2737994,0.014975771,0.10907274,0.26790094,-0.04929223,0.12873179,-0.14725639999999998,0.024985055,0.063368805,-0.54169655,-0.15616882,-0.27372366,0.5576441,0.29461464,-0.33691459999999995,0.53190243,0.056399763,-0.12494988,0.7112082,0.06375442,0.16767645,0.6964978000000001,0.005766910500000001,0.33662313,0.49057390000000006,-0.08424564,0.5287505,0.5216274000000001,0.061554622,0.032124285,0.7629526999999999,0.06538156,0.060008544000000004,0.9695859,0.12198426,0.06296762,0.8624574,0.23261516,0.096239954,0.90312076,0.19881457,0.030613177999999998,0.9085257999999999,0.20411198,0.12723522,0.8920399,0.102191694,-0.020491753,0.905918,0.11393102,-0.004249583929777145,0.27085018157958984,-0.017158228904008862
9,-0.13471054,-0.5116400999999999,-0.029249507999999997,-0.059256773,-0.13148844,0.1502768,-0.11127275,0.27134857,0.02666213,0.10480489,0.26258743,-0.05871923,0.11871921,-0.15314208,-0.0137854805,0.046471357000000005,-0.5533575,-0.16844934,-0.31655854,0.6661411,0.27626124,-0.35275847,0.58351564,0.049880005,-0.11452865599999999,0.7172489000000001,0.042829115,0.1665264,0.69837016,-0.020325016,0.35445479999999996,0.5127107,-0.09552829,0.5008756,0.5995236999999999,0.07129478,0.035996605,0.7617833,0.038774658,0.06471186,0.96589917,0.07602586,0.050946753,0.8732274,0.19814576,0.08901688,0.90954244,0.16510987,0.023621572,0.9153875,0.16035270000000001,0.13227805,0.8869222,0.075576395,-0.013608452,0.90225446,0.06585346,-0.0032339319586753845,0.2669680118560791,-0.016028549522161484
10,-0.14067511,-0.52695936,-0.09388033,-0.09210196,-0.1441821,0.10059557,-0.115545675,0.2762925,0.017586544,0.10928577,0.2652516,-0.0476033,0.11803942,-0.15430476,-0.01885951,0.067259245,-0.55541337,-0.19033343,-0.25930749999999997,0.5806376,0.29281637,-0.31260282,0.5149621,0.061335795,-0.11365057,0.7078683000000001,0.0700095,0.17743137,0.6915482,0.013141581000000001,0.3355647,0.47447836,-0.06838038,0.5333446,0.5071532999999999,0.067724034,0.041986845,0.76119936,0.07127123,0.06254061,0.97017515,0.11825746,0.046006557000000003,0.87139153,0.23549159,0.08464484,0.91072935,0.20587955,0.019104924,0.91421854,0.19784136,0.13457865,0.89361936,0.117674105,-0.01255678,0.9035810999999999,0.10022174,-0.003129951655864716,0.2707720398902893,-0.015008378773927687
